year,territory,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest,eco_cost_total,eco_cost_cat_only,eco_cost_cat_plus_other,eco_sector_agriculture,eco_sector_authorities_stakeholders,eco_sector_environment,eco_sector_health,eco_type_control,eco_type_control_education,eco_type_control_medical_care,eco_type_control_prevention,eco_type_damage_loss,eco_type_eradication,eco_type_prevention
2009,All Australia,8509.0,536.0,20677.0,36592.0,33664.0,2112.0,452.0,151.0,301.0,156.0,296.0,2411288.0552049764,0.0,2411288.0552049764,0.0,2411288.0552049764,0.0,0.0,0.0,0.0,0.0,2411288.0552049764,0.0,0.0,0.0
2009,New South Wales,2100.0,105.0,5007.0,8402.0,8118.0,532.0,152.0,86.0,66.0,85.0,67.0,,,,,,,,,,,,,,
2009,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,7.0,3.0,6.0,,,,,,,,,,,,,,
2009,Queensland,1020.0,82.0,2640.0,5046.0,5197.0,112.0,44.0,15.0,29.0,13.0,31.0,,,,,,,,,,,,,,
2009,South Australia,2376.0,105.0,4552.0,8270.0,7459.0,469.0,196.0,18.0,178.0,20.0,176.0,,,,,,,,,,,,,,
2009,Tasmania,368.0,23.0,900.0,1749.0,1485.0,71.0,,,,,,,,,,,,,,,,,,,
2009,Unspecified,,,,,,,,,,,,2411288.0552049764,0.0,2411288.0552049764,0.0,2411288.0552049764,0.0,0.0,0.0,0.0,0.0,2411288.0552049764,0.0,0.0,0.0
2009,Victoria,1077.0,43.0,2160.0,3850.0,3661.0,383.0,51.0,30.0,21.0,35.0,16.0,,,,,,,,,,,,,,
2009,Western Australia,1568.0,178.0,5418.0,9275.0,7744.0,545.0,,,,,,,,,,,,,,,,,,,
2010,All Australia,8294.0,511.0,19172.0,31516.0,31626.0,1942.0,284.0,112.0,172.0,121.0,163.0,40389.180002269,40389.180002269,0.0,0.0,40389.180002269,0.0,0.0,11162.1751036689,0.0,0.0,0.0,0.0,29227.0048986001,0.0
2010,New South Wales,2167.0,112.0,5507.0,8409.0,8575.0,655.0,104.0,68.0,36.0,66.0,38.0,,,,,,,,,,,,,,
2010,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,17.0,5.0,14.0,,,,,,,,,,,,,,
2010,Queensland,930.0,99.0,2299.0,4288.0,4528.0,83.0,27.0,14.0,13.0,15.0,12.0,,,,,,,,,,,,,,
2010,South Australia,2028.0,121.0,4728.0,7546.0,7336.0,429.0,75.0,5.0,70.0,8.0,67.0,,,,,,,,,,,,,,
2010,Tasmania,448.0,21.0,883.0,1749.0,1683.0,40.0,,,,,,,,,,,,,,,,,,,
2010,Unspecified,,,,,,,,,,,,40389.180002269,40389.180002269,0.0,0.0,40389.180002269,0.0,0.0,11162.1751036689,0.0,0.0,0.0,0.0,29227.0048986001,0.0
2010,Victoria,1094.0,46.0,1952.0,3264.0,3357.0,401.0,59.0,23.0,36.0,27.0,32.0,,,,,,,,,,,,,,
2010,Western Australia,1627.0,112.0,3803.0,6260.0,6147.0,334.0,,,,,,,,,,,,,,,,,,,
2011,All Australia,10322.0,476.0,20588.0,33286.0,34619.0,1735.0,755.0,307.0,448.0,311.0,444.0,111794.275400227,111794.275400227,0.0,0.0,111794.275400227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111794.275400227,0.0
2011,New South Wales,2890.0,119.0,5885.0,8751.0,9591.0,457.0,104.0,47.0,57.0,51.0,53.0,,,,,,,,,,,,,,
2011,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,12.0,1.0,12.0,,,,,,,,,,,,,,
2011,Queensland,1204.0,75.0,2269.0,3829.0,4558.0,77.0,78.0,51.0,27.0,57.0,21.0,,,,,,,,,,,,,,
2011,South Australia,2707.0,124.0,5519.0,8965.0,8859.0,521.0,354.0,45.0,309.0,30.0,324.0,,,,,,,,,,,,,,
2011,Tasmania,517.0,23.0,1016.0,1973.0,1860.0,70.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,
2011,Unspecified,,,,,,,,,,,,111794.275400227,111794.275400227,0.0,0.0,111794.275400227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111794.275400227,0.0
2011,Victoria,1444.0,42.0,2474.0,3993.0,4293.0,419.0,205.0,163.0,42.0,172.0,33.0,,,,,,,,,,,,,,
2011,Western Australia,1560.0,93.0,3425.0,5775.0,5458.0,191.0,,,,,,,,,,,,,,,,,,,
2012,All Australia,9461.0,435.0,19997.0,32974.0,34135.0,1568.0,982.0,675.0,307.0,704.0,278.0,321354.1877705706,193449.68063903,127904.50713154062,0.0,321354.1877705706,0.0,0.0,126802.3966652714,193449.68063903,0.0,0.0,0.0,1102.11046626922,0.0
2012,New South Wales,2986.0,115.0,6037.0,8810.0,9976.0,409.0,619.0,505.0,114.0,530.0,89.0,,,,,,,,,,,,,,
2012,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,2.0,26.0,,,,,,,,,,,,,,
2012,Queensland,800.0,44.0,1851.0,3731.0,4102.0,33.0,54.0,36.0,18.0,34.0,20.0,,,,,,,,,,,,,,
2012,South Australia,2202.0,106.0,5269.0,8522.0,8128.0,489.0,122.0,8.0,114.0,6.0,116.0,,,,,,,,,,,,,,
2012,Tasmania,587.0,25.0,1107.0,2013.0,2072.0,58.0,,,,,,,,,,,,,,,,,,,
2012,Unspecified,,,,,,,,,,,,321354.1877705706,193449.68063903,127904.50713154062,0.0,321354.1877705706,0.0,0.0,126802.3966652714,193449.68063903,0.0,0.0,0.0,1102.11046626922,0.0
2012,Victoria,1345.0,42.0,2273.0,3898.0,4154.0,365.0,159.0,126.0,33.0,132.0,27.0,,,,,,,,,,,,,,
