Date,Series,Value
2017-05-18,Total Monitored Articles,810482
2017-05-19,Article Count,0
2017-05-19,Total Monitored Articles,750116
2017-05-20,Article Count,0
2017-05-20,Total Monitored Articles,473050
2017-05-21,Article Count,0
2017-05-21,Total Monitored Articles,397009
2017-05-22,Article Count,0
2017-05-22,Total Monitored Articles,703101
2017-05-23,Article Count,18
2017-05-23,Total Monitored Articles,773334
2017-05-24,Article Count,0
2017-05-24,Total Monitored Articles,720427
2017-05-25,Article Count,6
2017-05-25,Total Monitored Articles,727556
2017-05-26,Article Count,1
2017-05-26,Total Monitored Articles,712604
2017-05-27,Article Count,0
2017-05-27,Total Monitored Articles,489464
2017-05-28,Article Count,1
2017-05-28,Total Monitored Articles,448928
2017-05-29,Article Count,2
2017-05-29,Total Monitored Articles,605486
2017-05-30,Article Count,0
2017-05-30,Total Monitored Articles,661069
2017-05-31,Article Count,2
2017-05-31,Total Monitored Articles,745257
2017-06-01,Article Count,0
2017-06-01,Total Monitored Articles,744295
2017-06-02,Article Count,2
2017-06-02,Total Monitored Articles,724843
2017-06-03,Article Count,3
2017-06-03,Total Monitored Articles,451564
2017-06-04,Article Count,0
2017-06-04,Total Monitored Articles,429682
2017-06-05,Article Count,73
2017-06-05,Total Monitored Articles,703607
2017-06-06,Article Count,0
2017-06-06,Total Monitored Articles,736228
2017-06-07,Article Count,2
2017-06-07,Total Monitored Articles,735573
2017-06-08,Article Count,7
2017-06-08,Total Monitored Articles,768985
2017-06-09,Article Count,1
2017-06-09,Total Monitored Articles,770400
2017-06-10,Article Count,1
2017-06-10,Total Monitored Articles,434080
2017-06-11,Article Count,0
2017-06-11,Total Monitored Articles,430541
2017-06-12,Article Count,2
2017-06-12,Total Monitored Articles,680435
2017-06-13,Article Count,17
2017-06-13,Total Monitored Articles,735151
2017-06-14,Article Count,2
2017-06-14,Total Monitored Articles,788289
2017-06-15,Article Count,6
2017-06-15,Total Monitored Articles,762286
2017-06-16,Article Count,5
2017-06-16,Total Monitored Articles,716460
2017-06-17,Article Count,0
2017-06-17,Total Monitored Articles,440916
2017-06-18,Article Count,0
2017-06-18,Total Monitored Articles,439922
2017-06-19,Article Count,13
2017-06-19,Total Monitored Articles,689443
2017-06-20,Article Count,7
2017-06-20,Total Monitored Articles,712433
2017-06-21,Article Count,127
2017-06-21,Total Monitored Articles,760797
2017-06-22,Article Count,4
2017-06-22,Total Monitored Articles,711096
2017-06-23,Article Count,5
2017-06-23,Total Monitored Articles,658889
2017-06-24,Article Count,2
2017-06-24,Total Monitored Articles,467374
2017-06-25,Article Count,4
2017-06-25,Total Monitored Articles,372431
2017-06-26,Article Count,0
2017-06-26,Total Monitored Articles,603267
2017-06-27,Article Count,1
2017-06-27,Total Monitored Articles,576105
2017-06-28,Article Count,5
