year,stateTerritory,ibraRegion,forest2018Status,forest2013Status,capadStatus,speciesName,occurrenceCount
1993,Australian Capital Territory,South Eastern Highlands,forest,non-forest,not protected,Felis catus,1
1993,Australian Capital Territory,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,2
1993,Queensland,Central Mackay Coast,forest,forest,not protected,Felis catus,1
1993,Queensland,Central Mackay Coast,forest,non-forest,not protected,Felis catus,1
1993,Queensland,Central Mackay Coast,non-forest,forest,PA,Felis catus,1
1993,Queensland,Central Mackay Coast,non-forest,forest,not protected,Felis catus,1
1993,Queensland,Central Mackay Coast,non-forest,non-forest,not protected,Felis catus,2
1993,Queensland,Mulga Lands,non-forest,non-forest,not protected,Felis catus,1
1993,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,1
1993,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,2
1993,Queensland,South Eastern Queensland,forest,non-forest,not protected,Felis catus,1
1993,Queensland,South Eastern Queensland,non-forest,forest,not protected,Felis catus,2
1993,Queensland,South Eastern Queensland,non-forest,non-forest,PA,Felis catus,2
1993,Queensland,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,2
1993,Queensland,Wet Tropics,forest,non-forest,not protected,Felis catus,1
1993,Victoria,Australian Alps,forest,forest,not protected,Felis catus,1
1993,Victoria,NSW South Western Slopes,forest,forest,not protected,Felis catus,1
1993,Victoria,South East Corner,forest,forest,PA,Felis catus,1
1993,Victoria,South East Corner,forest,forest,not protected,Felis catus,5
1993,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,4
1993,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,3
1993,Victoria,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,2
1993,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,3
1993,Victoria,Victorian Midlands,forest,forest,PA,Felis catus,1
1993,Victoria,Victorian Midlands,forest,forest,not protected,Felis catus,2
1993,Victoria,Victorian Midlands,forest,non-forest,not protected,Felis catus,2
1993,Victoria,Victorian Midlands,non-forest,non-forest,not protected,Felis catus,5
1993,Queensland,Channel Country,non-forest,non-forest,not protected,Felis catus,2
1994,Australian Capital Territory,Australian Alps,forest,forest,PA,Felis catus,1
1994,Australian Capital Territory,South Eastern Highlands,forest,forest,PA,Felis catus,1
1994,New South Wales,Brigalow Belt South,forest,forest,not protected,Felis catus,1
1994,New South Wales,Broken Hill Complex,non-forest,non-forest,PA,Felis catus,1
1994,New South Wales,Cobar Peneplain,forest,forest,PA,Felis catus,1
1994,New South Wales,Darling Riverine Plains,non-forest,non-forest,not protected,Felis catus,4
1994,New South Wales,Mulga Lands,non-forest,non-forest,not protected,Felis catus,1
1994,New South Wales,Murray Darling Depression,forest,forest,PA,Felis catus,1
1994,New South Wales,Murray Darling Depression,non-forest,forest,not protected,Felis catus,1
1994,New South Wales,Murray Darling Depression,non-forest,non-forest,not protected,Felis catus,1
1994,New South Wales,NSW North Coast,forest,forest,PA,Felis catus,4
1994,New South Wales,NSW North Coast,forest,forest,not protected,Felis catus,5
1994,New South Wales,NSW North Coast,forest,non-forest,PA,Felis catus,1
1994,New South Wales,NSW North Coast,non-forest,forest,not protected,Felis catus,2
1994,New South Wales,NSW North Coast,non-forest,non-forest,PA,Felis catus,1
1994,New South Wales,NSW North Coast,non-forest,non-forest,not protected,Felis catus,2
1994,New South Wales,NSW South Western Slopes,non-forest,non-forest,not protected,Felis catus,2
1994,New South Wales,Nandewar,non-forest,non-forest,not protected,Felis catus,1
1994,New South Wales,New England Tablelands,forest,forest,PA,Felis catus,1
1994,New South Wales,Riverina,forest,forest,PA,Felis catus,1
1994,New South Wales,Riverina,forest,forest,not protected,Felis catus,1
1994,New South Wales,South East Corner,forest,forest,PA,Felis catus,4
1994,New South Wales,South East Corner,forest,forest,not protected,Felis catus,4
1994,New South Wales,South East Corner,non-forest,forest,not protected,Felis catus,1
1994,New South Wales,South Eastern Highlands,forest,forest,PA,Felis catus,2
1994,New South Wales,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1994,New South Wales,South Eastern Highlands,forest,non-forest,PA,Felis catus,1
1994,New South Wales,South Eastern Highlands,forest,non-forest,not protected,Felis catus,9
1994,New South Wales,South Eastern Highlands,non-forest,forest,not protected,Felis catus,1
1994,New South Wales,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1994,New South Wales,South Eastern Queensland,forest,forest,IPA,Felis catus,2
1994,New South Wales,South Eastern Queensland,forest,forest,PA,Felis catus,5
1994,New South Wales,South Eastern Queensland,forest,forest,not protected,Felis catus,3
1994,New South Wales,South Eastern Queensland,forest,non-forest,not protected,Felis catus,4
1994,New South Wales,South Eastern Queensland,non-forest,forest,not protected,Felis catus,3
1994,New South Wales,South Eastern Queensland,non-forest,non-forest,IPA,Felis catus,1
1994,New South Wales,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,4
1994,New South Wales,Sydney Basin,forest,forest,PA,Felis catus,2
1994,New South Wales,Sydney Basin,forest,forest,not protected,Felis catus,3
1994,New South Wales,Sydney Basin,forest,non-forest,PA,Felis catus,1
1994,New South Wales,Sydney Basin,forest,non-forest,not protected,Felis catus,1
1994,New South Wales,Sydney Basin,non-forest,non-forest,not protected,Felis catus,3
1994,Northern Territory,Daly Basin,forest,non-forest,not protected,Felis catus,1
1994,Northern Territory,Darwin Coastal,forest,forest,PA,Felis catus,1
1994,Northern Territory,Great Sandy Desert,non-forest,non-forest,PA,Felis catus,2
1994,Northern Territory,MacDonnell Ranges,non-forest,non-forest,PA,Felis catus,8
1994,Northern Territory,MacDonnell Ranges,non-forest,non-forest,not protected,Felis catus,24
1994,Northern Territory,Mitchell Grass Downs,non-forest,non-forest,not protected,Felis catus,1
1994,Northern Territory,Ord Victoria Plain,non-forest,non-forest,not protected,Felis catus,1
1994,Northern Territory,Tanami,non-forest,non-forest,IPA,Felis catus,1
1994,Northern Territory,Tanami,non-forest,non-forest,not protected,Felis catus,1
1994,Northern Territory,Tiwi Cobourg,forest,forest,not protected,Felis catus,2
1994,Queensland,Brigalow Belt North,forest,forest,PA,Felis catus,3
1994,Queensland,Brigalow Belt North,forest,forest,not protected,Felis catus,1
1994,Queensland,Brigalow Belt North,non-forest,forest,PA,Felis catus,2
1994,Queensland,Brigalow Belt North,non-forest,forest,not protected,Felis catus,1
1994,Queensland,Brigalow Belt South,forest,forest,not protected,Felis catus,1
1994,Queensland,Cape York Peninsula,forest,forest,not protected,Felis catus,2
1994,Queensland,Central Mackay Coast,forest,forest,not protected,Felis catus,2
1994,Queensland,Channel Country,non-forest,non-forest,not protected,Felis catus,1
1994,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,4
1994,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,4
1994,Queensland,South Eastern Queensland,forest,non-forest,not protected,Felis catus,6
1994,Queensland,South Eastern Queensland,non-forest,forest,PA,Felis catus,1
1994,Queensland,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1994,Queensland,South Eastern Queensland,non-forest,non-forest,PA,Felis catus,2
1994,Queensland,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,1
1994,South Australia,Central Ranges,non-forest,non-forest,not protected,Felis catus,1
1994,South Australia,Channel Country,non-forest,non-forest,not protected,Felis catus,7
1994,South Australia,Finke,non-forest,non-forest,not protected,Felis catus,2
1994,South Australia,Great Victoria Desert,non-forest,non-forest,not protected,Felis catus,2
1994,South Australia,Simpson Strzelecki Dunefields,non-forest,non-forest,not protected,Felis catus,1
1994,South Australia,Stony Plains,non-forest,non-forest,not protected,Felis catus,20
1994,Victoria,Australian Alps,forest,forest,not protected,Felis catus,1
1994,Victoria,Murray Darling Depression,forest,forest,not protected,Felis catus,1
1994,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,5
1994,Victoria,South East Corner,forest,forest,not protected,Felis catus,1
1994,Australian Capital Territory,South Eastern Highlands,forest,forest,PA,Felis catus,1
1994,Queensland,Brigalow Belt North,forest,non-forest,not protected,Felis catus,1
1994,Queensland,Central Mackay Coast,non-forest,forest,not protected,Felis catus,1
1994,Queensland,Central Mackay Coast,non-forest,non-forest,not protected,Felis catus,1
1994,Queensland,Channel Country,non-forest,non-forest,not protected,Felis catus,1
1994,Queensland,Einasleigh Uplands,non-forest,non-forest,not protected,Felis catus,1
1994,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,1
1994,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,6
1994,Queensland,South Eastern Queensland,non-forest,forest,PA,Felis catus,1
1994,Queensland,South Eastern Queensland,non-forest,forest,not protected,Felis catus,3
1994,Queensland,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,5
1994,Queensland,Wet Tropics,forest,forest,PA,Felis catus,1
1994,Victoria,Naracoorte Coastal Plain,forest,non-forest,not protected,Felis catus,1
1994,Victoria,South East Coastal Plain,forest,forest,PA,Felis catus,1
1994,Victoria,South East Coastal Plain,forest,forest,not protected,Felis catus,2
1994,Victoria,South East Coastal Plain,non-forest,forest,PA,Felis catus,2
1994,Victoria,South East Corner,forest,forest,PA,Felis catus,3
1994,Victoria,South East Corner,forest,forest,not protected,Felis catus,1
1994,Victoria,South East Corner,non-forest,non-forest,PA,Felis catus,1
1994,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,1
1994,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,2
1994,Victoria,South Eastern Highlands,forest,non-forest,not protected,Felis catus,1
1994,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,1
1994,Victoria,Victorian Midlands,forest,forest,PA,Felis catus,1
1994,Victoria,Victorian Midlands,forest,forest,not protected,Felis catus,1
1994,Victoria,Victorian Midlands,non-forest,non-forest,not protected,Felis catus,1
1994,New South Wales,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1994,Queensland,Channel Country,non-forest,non-forest,not protected,Felis catus,5
1994,Queensland,Mitchell Grass Downs,non-forest,non-forest,PA,Felis catus,1
1994,Queensland,Mitchell Grass Downs,non-forest,non-forest,not protected,Felis catus,4
1994,South Australia,Central Ranges,non-forest,non-forest,not protected,Felis catus,1
1994,South Australia,Eyre Yorke Block,non-forest,non-forest,PA,Felis catus,2
1994,South Australia,Flinders Lofty Block,forest,non-forest,PA,Felis catus,5
1994,South Australia,Stony Plains,non-forest,non-forest,not protected,Felis catus,1
1995,New South Wales,Australian Alps,forest,forest,not protected,Felis catus,1
1995,New South Wales,Brigalow Belt South,non-forest,forest,not protected,Felis catus,1
1995,New South Wales,Broken Hill Complex,non-forest,non-forest,PA,Felis catus,1
1995,New South Wales,Broken Hill Complex,non-forest,non-forest,not protected,Felis catus,1
1995,New South Wales,Cobar Peneplain,non-forest,non-forest,not protected,Felis catus,1
1995,New South Wales,Darling Riverine Plains,non-forest,forest,not protected,Felis catus,2
1995,New South Wales,Darling Riverine Plains,non-forest,non-forest,PA,Felis catus,1
1995,New South Wales,Darling Riverine Plains,non-forest,non-forest,not protected,Felis catus,4
1995,New South Wales,Mulga Lands,non-forest,non-forest,not protected,Felis catus,2
1995,New South Wales,Murray Darling Depression,forest,forest,not protected,Felis catus,1
1995,New South Wales,Murray Darling Depression,forest,non-forest,not protected,Felis catus,1
1995,New South Wales,Murray Darling Depression,non-forest,forest,not protected,Felis catus,1
1995,New South Wales,Murray Darling Depression,non-forest,non-forest,not protected,Felis catus,9
1995,New South Wales,NSW North Coast,forest,forest,PA,Felis catus,2
1995,New South Wales,NSW North Coast,forest,forest,not protected,Felis catus,5
1995,New South Wales,NSW North Coast,non-forest,forest,not protected,Felis catus,1
1995,New South Wales,NSW North Coast,non-forest,non-forest,not protected,Felis catus,2
1995,New South Wales,NSW South Western Slopes,forest,forest,not protected,Felis catus,1
1995,New South Wales,NSW South Western Slopes,forest,non-forest,not protected,Felis catus,1
1995,New South Wales,NSW South Western Slopes,non-forest,forest,PA,Felis catus,1
1995,New South Wales,NSW South Western Slopes,non-forest,non-forest,PA,Felis catus,1
1995,New South Wales,Nandewar,forest,forest,not protected,Felis catus,1
1995,New South Wales,New England Tablelands,non-forest,forest,PA,Felis catus,1
1995,New South Wales,New England Tablelands,non-forest,non-forest,not protected,Felis catus,1
1995,New South Wales,Riverina,non-forest,forest,not protected,Felis catus,1
1995,New South Wales,Riverina,non-forest,non-forest,not protected,Felis catus,5
1995,New South Wales,Simpson Strzelecki Dunefields,non-forest,non-forest,PA,Felis catus,1
1995,New South Wales,South East Corner,non-forest,forest,not protected,Felis catus,5
1995,New South Wales,South Eastern Highlands,forest,forest,PA,Felis catus,4
1995,New South Wales,South Eastern Highlands,forest,forest,not protected,Felis catus,2
1995,New South Wales,South Eastern Highlands,forest,non-forest,not protected,Felis catus,2
1995,New South Wales,South Eastern Highlands,non-forest,forest,not protected,Felis catus,1
1995,New South Wales,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1995,New South Wales,South Eastern Queensland,forest,forest,PA,Felis catus,3
1995,New South Wales,South Eastern Queensland,forest,forest,not protected,Felis catus,4
1995,New South Wales,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1995,New South Wales,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,1
1995,New South Wales,Sydney Basin,forest,non-forest,PA,Felis catus,1
1995,New South Wales,Sydney Basin,forest,non-forest,not protected,Felis catus,2
1995,New South Wales,Sydney Basin,non-forest,forest,not protected,Felis catus,2
1995,New South Wales,Sydney Basin,non-forest,non-forest,not protected,Felis catus,12
1995,Northern Territory,Channel Country,non-forest,non-forest,not protected,Felis catus,1
1995,Northern Territory,Daly Basin,non-forest,non-forest,not protected,Felis catus,2
1995,Northern Territory,Darwin Coastal,forest,forest,PA,Felis catus,1
1995,Northern Territory,MacDonnell Ranges,non-forest,non-forest,PA,Felis catus,2
1995,Northern Territory,Mitchell Grass Downs,non-forest,non-forest,PA,Felis catus,1
1995,Northern Territory,Mitchell Grass Downs,non-forest,non-forest,not protected,Felis catus,2
1995,Northern Territory,Ord Victoria Plain,non-forest,non-forest,not protected,Felis catus,1
1995,Northern Territory,Pine Creek,non-forest,non-forest,not protected,Felis catus,2
1995,Northern Territory,Tanami,non-forest,non-forest,IPA,Felis catus,1
1995,Queensland,Brigalow Belt North,forest,forest,PA,Felis catus,2
1995,Queensland,Brigalow Belt North,forest,non-forest,PA,Felis catus,1
1995,Queensland,Brigalow Belt North,non-forest,forest,not protected,Felis catus,1
1995,Queensland,Brigalow Belt North,non-forest,non-forest,not protected,Felis catus,1
1995,Queensland,Brigalow Belt South,forest,forest,not protected,Felis catus,1
1995,Queensland,Brigalow Belt South,non-forest,forest,PA,Felis catus,1
1995,Queensland,Brigalow Belt South,non-forest,forest,not protected,Felis catus,3
1995,Queensland,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,8
1995,Queensland,Gulf Plains,non-forest,non-forest,not protected,Felis catus,1
1995,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,1
1995,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,1
1995,Queensland,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1995,South Australia,Central Ranges,non-forest,non-forest,IPA,Felis catus,3
1995,South Australia,Flinders Lofty Block,forest,forest,not protected,Felis catus,1
1995,South Australia,Flinders Lofty Block,non-forest,non-forest,PA,Felis catus,1
1995,South Australia,Flinders Lofty Block,non-forest,non-forest,not protected,Felis catus,1
1995,South Australia,Great Victoria Desert,forest,non-forest,PA,Felis catus,2
1995,South Australia,Great Victoria Desert,non-forest,forest,PA,Felis catus,3
1995,South Australia,Great Victoria Desert,non-forest,non-forest,IPA,Felis catus,5
1995,South Australia,Great Victoria Desert,non-forest,non-forest,PA,Felis catus,3
1995,South Australia,Kanmantoo,non-forest,non-forest,not protected,Felis catus,1
1995,South Australia,Murray Darling Depression,non-forest,non-forest,not protected,Felis catus,3
1995,South Australia,Nullarbor,non-forest,forest,not protected,Felis catus,1
1995,South Australia,Simpson Strzelecki Dunefields,non-forest,non-forest,not protected,Felis catus,3
1995,South Australia,Stony Plains,non-forest,non-forest,PA,Felis catus,3
1995,South Australia,Stony Plains,non-forest,non-forest,not protected,Felis catus,18
1995,Victoria,NSW South Western Slopes,non-forest,non-forest,not protected,Felis catus,4
1995,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1995,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,3
1995,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,2
1995,Victoria,South Eastern Highlands,non-forest,forest,not protected,Felis catus,1
1995,Victoria,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1995,New South Wales,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1995,Queensland,Brigalow Belt South,forest,forest,not protected,Felis catus,2
1995,Queensland,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,2
1995,Queensland,Central Mackay Coast,non-forest,non-forest,not protected,Felis catus,1
1995,Queensland,Simpson Strzelecki Dunefields,non-forest,non-forest,PA,Felis catus,2
1995,Queensland,Simpson Strzelecki Dunefields,non-forest,non-forest,not protected,Felis catus,1
1995,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,1
1995,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,2
1995,Queensland,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1995,Queensland,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,3
1995,Queensland,Wet Tropics,forest,forest,PA,Felis catus,2
1995,Victoria,Murray Darling Depression,forest,non-forest,PA,Felis catus,1
1995,Victoria,NSW South Western Slopes,forest,forest,PA,Felis catus,1
1995,Victoria,Riverina,forest,forest,PA,Felis catus,1
1995,Victoria,Riverina,non-forest,non-forest,not protected,Felis catus,1
1995,Victoria,South East Coastal Plain,forest,non-forest,not protected,Felis catus,1
1995,Victoria,South East Coastal Plain,non-forest,forest,not protected,Felis catus,1
1995,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1995,Victoria,South East Corner,forest,forest,PA,Felis catus,3
1995,Victoria,South East Corner,forest,forest,not protected,Felis catus,2
1995,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,2
1995,Victoria,South Eastern Highlands,forest,non-forest,PA,Felis catus,1
1995,Victoria,South Eastern Highlands,forest,non-forest,not protected,Felis catus,1
1995,Victoria,South Eastern Highlands,non-forest,forest,not protected,Felis catus,1
1995,Victoria,Southern Volcanic Plain,non-forest,forest,not protected,Felis catus,1
1995,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,3
1995,New South Wales,Broken Hill Complex,non-forest,non-forest,PA,Felis catus,1
1995,Queensland,Channel Country,non-forest,forest,not protected,Felis catus,2
1995,Queensland,Mitchell Grass Downs,non-forest,non-forest,PA,Felis catus,1
1995,Queensland,Mitchell Grass Downs,non-forest,non-forest,not protected,Felis catus,2
1995,South Australia,Flinders Lofty Block,forest,forest,PA,Felis catus,5
1995,South Australia,Flinders Lofty Block,non-forest,non-forest,not protected,Felis catus,1
1995,South Australia,Stony Plains,non-forest,non-forest,not protected,Felis catus,2
1996,Australian Capital Territory,South Eastern Highlands,non-forest,forest,PA,Felis catus,1
1996,Australian Capital Territory,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1996,New South Wales,Australian Alps,non-forest,non-forest,PA,Felis catus,1
1996,New South Wales,Brigalow Belt South,forest,forest,PA,Felis catus,1
1996,New South Wales,Brigalow Belt South,forest,forest,not protected,Felis catus,1
1996,New South Wales,Brigalow Belt South,forest,non-forest,not protected,Felis catus,2
1996,New South Wales,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,1
1996,New South Wales,Cobar Peneplain,forest,forest,not protected,Felis catus,1
1996,New South Wales,Cobar Peneplain,non-forest,forest,PA,Felis catus,1
1996,New South Wales,Cobar Peneplain,non-forest,forest,not protected,Felis catus,2
1996,New South Wales,Darling Riverine Plains,forest,forest,not protected,Felis catus,1
1996,New South Wales,Darling Riverine Plains,forest,non-forest,not protected,Felis catus,2
1996,New South Wales,Darling Riverine Plains,non-forest,forest,not protected,Felis catus,1
1996,New South Wales,Darling Riverine Plains,non-forest,non-forest,not protected,Felis catus,8
1996,New South Wales,Mulga Lands,non-forest,non-forest,not protected,Felis catus,1
1996,New South Wales,Murray Darling Depression,non-forest,forest,not protected,Felis catus,2
1996,New South Wales,Murray Darling Depression,non-forest,non-forest,not protected,Felis catus,2
1996,New South Wales,NSW North Coast,forest,forest,PA,Felis catus,4
1996,New South Wales,NSW North Coast,forest,forest,not protected,Felis catus,3
1996,New South Wales,NSW North Coast,forest,non-forest,PA,Felis catus,1
1996,New South Wales,NSW North Coast,non-forest,forest,not protected,Felis catus,1
1996,New South Wales,NSW North Coast,non-forest,non-forest,not protected,Felis catus,2
1996,New South Wales,NSW South Western Slopes,forest,forest,PA,Felis catus,1
1996,New South Wales,NSW South Western Slopes,forest,forest,not protected,Felis catus,1
1996,New South Wales,NSW South Western Slopes,forest,non-forest,PA,Felis catus,1
1996,New South Wales,NSW South Western Slopes,forest,non-forest,not protected,Felis catus,1
1996,New South Wales,NSW South Western Slopes,non-forest,forest,not protected,Felis catus,1
1996,New South Wales,NSW South Western Slopes,non-forest,non-forest,not protected,Felis catus,2
1996,New South Wales,Riverina,non-forest,non-forest,not protected,Felis catus,1
1996,New South Wales,South East Corner,forest,forest,PA,Felis catus,1
1996,New South Wales,South East Corner,non-forest,forest,not protected,Felis catus,2
1996,New South Wales,South Eastern Highlands,forest,forest,PA,Felis catus,1
1996,New South Wales,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1996,New South Wales,South Eastern Queensland,forest,forest,PA,Felis catus,3
1996,New South Wales,South Eastern Queensland,forest,non-forest,not protected,Felis catus,1
1996,New South Wales,South Eastern Queensland,non-forest,forest,not protected,Felis catus,1
1996,New South Wales,South Eastern Queensland,non-forest,non-forest,PA,Felis catus,1
1996,New South Wales,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,2
1996,New South Wales,Sydney Basin,forest,forest,PA,Felis catus,3
1996,New South Wales,Sydney Basin,forest,forest,not protected,Felis catus,5
1996,New South Wales,Sydney Basin,forest,non-forest,PA,Felis catus,1
1996,New South Wales,Sydney Basin,forest,non-forest,not protected,Felis catus,6
1996,New South Wales,Sydney Basin,non-forest,forest,not protected,Felis catus,2
1996,New South Wales,Sydney Basin,non-forest,non-forest,not protected,Felis catus,3
1996,Northern Territory,Daly Basin,forest,non-forest,PA,Felis catus,1
1996,Northern Territory,Daly Basin,non-forest,non-forest,not protected,Felis catus,1
1996,Northern Territory,Great Sandy Desert,non-forest,non-forest,IPA,Felis catus,12
1996,Northern Territory,Gulf Fall and Uplands,non-forest,non-forest,not protected,Felis catus,1
1996,Northern Territory,MacDonnell Ranges,non-forest,non-forest,PA,Felis catus,4
1996,Northern Territory,MacDonnell Ranges,non-forest,non-forest,not protected,Felis catus,2
1996,Northern Territory,Mitchell Grass Downs,non-forest,non-forest,not protected,Felis catus,2
1996,Northern Territory,Simpson Strzelecki Dunefields,non-forest,non-forest,not protected,Felis catus,30
1996,Northern Territory,Sturt Plateau,non-forest,non-forest,not protected,Felis catus,1
1996,Northern Territory,Tanami,non-forest,non-forest,IPA,Felis catus,16
1996,Northern Territory,Tanami,non-forest,non-forest,not protected,Felis catus,17
1996,Queensland,Brigalow Belt North,forest,forest,PA,Felis catus,3
1996,Queensland,Brigalow Belt North,forest,non-forest,not protected,Felis catus,1
1996,Queensland,Brigalow Belt North,non-forest,forest,PA,Felis catus,1
1996,Queensland,Brigalow Belt North,non-forest,forest,not protected,Felis catus,1
1996,Queensland,Brigalow Belt North,non-forest,non-forest,not protected,Felis catus,1
1996,Queensland,Brigalow Belt South,forest,forest,PA,Felis catus,1
1996,Queensland,Brigalow Belt South,forest,forest,not protected,Felis catus,2
1996,Queensland,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,5
1996,Queensland,Channel Country,non-forest,non-forest,not protected,Felis catus,5
1996,Queensland,Gulf Plains,non-forest,forest,not protected,Felis catus,2
1996,Queensland,Mitchell Grass Downs,non-forest,non-forest,PA,Felis catus,1
1996,Queensland,Mitchell Grass Downs,non-forest,non-forest,not protected,Felis catus,1
1996,Queensland,New England Tablelands,forest,non-forest,PA,Felis catus,1
1996,Queensland,South Eastern Queensland,forest,forest,PA,Felis catus,2
1996,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,2
1996,Queensland,South Eastern Queensland,forest,non-forest,not protected,Felis catus,1
1996,Queensland,South Eastern Queensland,non-forest,non-forest,not protected,Felis catus,1
1996,Queensland,Wet Tropics,forest,forest,PA,Felis catus,1
1996,South Australia,Broken Hill Complex,forest,non-forest,PA,Felis catus,1
1996,South Australia,Broken Hill Complex,non-forest,non-forest,not protected,Felis catus,4
1996,South Australia,Flinders Lofty Block,non-forest,non-forest,not protected,Felis catus,3
1996,South Australia,Gawler,non-forest,non-forest,not protected,Felis catus,2
1996,South Australia,Great Victoria Desert,non-forest,non-forest,IPA,Felis catus,1
1996,South Australia,Great Victoria Desert,non-forest,non-forest,not protected,Felis catus,4
1996,South Australia,Simpson Strzelecki Dunefields,non-forest,non-forest,PA,Felis catus,9
1996,South Australia,Simpson Strzelecki Dunefields,non-forest,non-forest,not protected,Felis catus,7
1996,South Australia,Stony Plains,non-forest,non-forest,not protected,Felis catus,7
1996,South Australia,Kanmantoo,non-forest,non-forest,not protected,Felis catus,1
1996,Victoria,Riverina,non-forest,non-forest,not protected,Felis catus,2
1996,Victoria,South East Coastal Plain,forest,forest,PA,Felis catus,1
1996,Victoria,South East Coastal Plain,non-forest,forest,PA,Felis catus,1
1996,Victoria,South East Corner,forest,forest,PA,Felis catus,1
1996,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,2
1996,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,1
1996,Victoria,Victorian Midlands,non-forest,forest,not protected,Felis catus,1
1996,Victoria,Victorian Midlands,non-forest,non-forest,not protected,Felis catus,1
1996,Australian Capital Territory,South Eastern Highlands,non-forest,forest,PA,Felis catus,1
1996,Australian Capital Territory,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1996,Queensland,Brigalow Belt North,forest,forest,PA,Felis catus,1
1996,Queensland,Brigalow Belt North,forest,non-forest,not protected,Felis catus,1
1996,Queensland,Brigalow Belt North,non-forest,non-forest,not protected,Felis catus,1
1996,Queensland,Brigalow Belt South,non-forest,non-forest,not protected,Felis catus,1
1996,Queensland,Central Mackay Coast,non-forest,non-forest,not protected,Felis catus,1
1996,Queensland,Mitchell Grass Downs,non-forest,non-forest,not protected,Felis catus,2
1996,Queensland,South Eastern Queensland,forest,forest,not protected,Felis catus,1
1996,Victoria,NSW South Western Slopes,forest,forest,not protected,Felis catus,1
1996,Victoria,Riverina,non-forest,non-forest,not protected,Felis catus,2
1996,Victoria,South East Coastal Plain,forest,forest,not protected,Felis catus,1
1996,Victoria,South East Coastal Plain,non-forest,non-forest,not protected,Felis catus,1
1996,Victoria,South East Corner,forest,forest,PA,Felis catus,1
1996,Victoria,South East Corner,forest,non-forest,PA,Felis catus,1
1996,Victoria,South Eastern Highlands,forest,forest,PA,Felis catus,6
1996,Victoria,South Eastern Highlands,forest,forest,not protected,Felis catus,5
1996,Victoria,South Eastern Highlands,non-forest,non-forest,not protected,Felis catus,1
1996,Victoria,Southern Volcanic Plain,forest,forest,not protected,Felis catus,1
1996,Victoria,Southern Volcanic Plain,non-forest,forest,PA,Felis catus,1
1996,Victoria,Southern Volcanic Plain,non-forest,forest,not protected,Felis catus,2
1996,Victoria,Southern Volcanic Plain,non-forest,non-forest,not protected,Felis catus,1
