year,state,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest
2009,Western Australia,1568.0,178.0,5418.0,9275.0,7744,545.0,,,,,
2010,New South Wales,2167.0,112.0,5507.0,8409.0,8575,655.0,104.0,68.0,36.0,66.0,38.0
2010,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,19.0,2.0,17.0,5.0,14.0
2010,Queensland,930.0,99.0,2299.0,4288.0,4528,83.0,27.0,14.0,13.0,15.0,12.0
2010,South Australia,2028.0,121.0,4728.0,7546.0,7336,429.0,75.0,5.0,70.0,8.0,67.0
2010,Tasmania,448.0,21.0,883.0,1749.0,1683,40.0,,,,,
2010,Victoria,1094.0,46.0,1952.0,3264.0,3357,401.0,59.0,23.0,36.0,27.0,32.0
2010,Western Australia,1627.0,112.0,3803.0,6260.0,6147,334.0,,,,,
2011,New South Wales,2890.0,119.0,5885.0,8751.0,9591,457.0,104.0,47.0,57.0,51.0,53.0
2011,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,13.0,1.0,12.0,1.0,12.0
2011,Queensland,1204.0,75.0,2269.0,3829.0,4558,77.0,78.0,51.0,27.0,57.0,21.0
2011,South Australia,2707.0,124.0,5519.0,8965.0,8859,521.0,354.0,45.0,309.0,30.0,324.0
2011,Tasmania,517.0,23.0,1016.0,1973.0,1860,70.0,1.0,0.0,1.0,0.0,1.0
2011,Victoria,1444.0,42.0,2474.0,3993.0,4293,419.0,205.0,163.0,42.0,172.0,33.0
2011,Western Australia,1560.0,93.0,3425.0,5775.0,5458,191.0,,,,,
2012,New South Wales,2986.0,115.0,6037.0,8810.0,9976,409.0,619.0,505.0,114.0,530.0,89.0
2012,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,28.0,0.0,28.0,2.0,26.0
2012,Queensland,800.0,44.0,1851.0,3731.0,4102,33.0,54.0,36.0,18.0,34.0,20.0
2012,South Australia,2202.0,106.0,5269.0,8522.0,8128,489.0,122.0,8.0,114.0,6.0,116.0
2012,Tasmania,587.0,25.0,1107.0,2013.0,2072,58.0,,,,,
2012,Victoria,1345.0,42.0,2273.0,3898.0,4154,365.0,159.0,126.0,33.0,132.0,27.0
2012,Western Australia,1541.0,103.0,3460.0,6000.0,5703,214.0,,,,,
2013,New South Wales,2918.0,122.0,5576.0,8843.0,9639,324.0,1086.0,967.0,119.0,904.0,182.0
2013,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,148.0,10.0,138.0,42.0,106.0
2013,Queensland,752.0,31.0,1583.0,3196.0,3281,250.0,39.0,29.0,10.0,33.0,6.0
2013,South Australia,2461.0,123.0,4677.0,7997.0,7883,266.0,58.0,2.0,56.0,1.0,57.0
2013,Tasmania,595.0,23.0,1075.0,2132.0,2006,48.0,,,,,
2013,Victoria,1392.0,52.0,2533.0,4220.0,4423,290.0,276.0,234.0,42.0,247.0,29.0
2013,Western Australia,1708.0,100.0,3682.0,6146.0,6059,230.0,5.0,0.0,5.0,0.0,5.0
2014,New South Wales,2690.0,129.0,6226.0,10419.0,9722,521.0,1335.0,1169.0,166.0,1236.0,99.0
2014,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,247.0,86.0,161.0,196.0,51.0
2014,Queensland,420.0,33.0,1443.0,2668.0,2801,144.0,56.0,38.0,18.0,38.0,18.0
2014,South Australia,2434.0,127.0,4778.0,8101.0,7890,351.0,82.0,40.0,42.0,52.0,30.0
2014,Tasmania,573.0,24.0,1128.0,2140.0,2067,47.0,,,,,
2014,Victoria,1296.0,51.0,2259.0,3928.0,3948,384.0,140.0,102.0,38.0,117.0,23.0
2014,Western Australia,1766.0,124.0,4148.0,6686.0,6575,391.0,10.0,0.0,10.0,0.0,10.0
2015,New South Wales,3195.0,144.0,6349.0,10453.0,10377,481.0,347.0,236.0,111.0,244.0,103.0
2015,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,349.0,100.0,249.0,208.0,141.0
2015,Queensland,508.0,26.0,1275.0,1952.0,2482,208.0,35.0,21.0,14.0,23.0,12.0
2015,South Australia,3177.0,152.0,5774.0,10526.0,9726,339.0,113.0,24.0,89.0,44.0,69.0
2015,Tasmania,562.0,23.0,1202.0,2244.0,2048,64.0,3.0,0.0,3.0,0.0,3.0
2015,Victoria,1292.0,53.0,2343.0,4026.0,3955,322.0,211.0,161.0,50.0,168.0,43.0
2015,Western Australia,1747.0,123.0,3785.0,6597.0,6261,189.0,7.0,0.0,7.0,1.0,6.0
2016,New South Wales,3203.0,147.0,7030.0,11365.0,11109,752.0,632.0,402.0,230.0,388.0,244.0
2016,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,59.0,22.0,37.0,47.0,12.0
2016,Queensland,339.0,24.0,1275.0,1830.0,2175,66.0,68.0,49.0,19.0,49.0,19.0
2016,South Australia,3057.0,112.0,4898.0,8560.0,8589,440.0,268.0,45.0,223.0,83.0,185.0
2016,Tasmania,545.0,22.0,1203.0,2290.0,2000,40.0,12.0,0.0,12.0,1.0,11.0
2016,Victoria,1410.0,61.0,2684.0,4736.0,4504,428.0,360.0,345.0,15.0,343.0,17.0
2016,Western Australia,2707.0,132.0,4919.0,6730.0,8231,318.0,5.0,2.0,3.0,4.0,1.0
2017,New South Wales,3122.0,135.0,6701.0,10810.0,10560,571.0,866.0,580.0,286.0,551.0,315.0
2017,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,96.0,31.0,65.0,70.0,26.0
2017,Queensland,783.0,25.0,1354.0,2217.0,2640,171.0,28.0,14.0,14.0,14.0,14.0
2017,South Australia,3252.0,138.0,5920.0,10783.0,10108,325.0,86.0,20.0,66.0,39.0,47.0
2017,Tasmania,416.0,20.0,978.0,1660.0,1634,65.0,3.0,3.0,0.0,1.0,2.0
2017,Victoria,1482.0,51.0,2607.0,4303.0,4448,546.0,281.0,242.0,39.0,246.0,35.0
2017,Western Australia,1909.0,105.0,3746.0,6454.0,6085,187.0,10.0,10.0,0.0,10.0,0.0
2018,New South Wales,2550.0,123.0,5839.0,9852.0,9039,586.0,841.0,551.0,290.0,519.0,322.0
2018,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,191.0,159.0,32.0,168.0,23.0
2018,Queensland,488.0,29.0,1336.0,2321.0,2399,153.0,65.0,34.0,31.0,29.0,36.0
2018,South Australia,2783.0,137.0,5998.0,10887.0,9529,404.0,99.0,7.0,92.0,24.0,75.0
2018,Tasmania,517.0,24.0,1191.0,1994.0,1976,75.0,1.0,1.0,0.0,1.0,0.0
2018,Victoria,1499.0,55.0,2489.0,4391.0,4319,535.0,407.0,325.0,82.0,350.0,57.0
2018,Western Australia,1975.0,93.0,3374.0,6436.0,6006,311.0,52.0,26.0,26.0,26.0,26.0
2019,New South Wales,2080.0,179.0,5749.0,8674.0,8486,529.0,651.0,525.0,126.0,516.0,135.0
2019,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,140.0,83.0,57.0,119.0,21.0
2019,Queensland,435.0,41.0,1503.0,1902.0,2386,186.0,36.0,17.0,19.0,11.0,25.0
2019,South Australia,2068.0,117.0,5083.0,9248.0,8150,369.0,326.0,63.0,263.0,78.0,248.0
2019,Tasmania,654.0,23.0,1138.0,2163.0,2031,163.0,1.0,0.0,1.0,1.0,0.0
2019,Victoria,1356.0,70.0,2449.0,4569.0,4248,428.0,458.0,360.0,98.0,372.0,86.0
2019,Western Australia,1884.0,96.0,3629.0,6706.0,6151,185.0,6.0,0.0,6.0,0.0,6.0
2020,New South Wales,2226.0,118.0,5492.0,7292.0,8211,483.0,583.0,502.0,81.0,491.0,92.0
2020,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,,,,,
2020,Queensland,633.0,50.0,1697.0,3110.0,2807,149.0,14.0,6.0,8.0,6.0,8.0
2020,South Australia,1745.0,116.0,4966.0,8553.0,7871,290.0,613.0,233.0,380.0,267.0,346.0
2020,Tasmania,472.0,24.0,1003.0,1875.0,1647,114.0,3.0,0.0,3.0,0.0,3.0
2020,Victoria,1474.0,76.0,2674.0,4789.0,4532,497.0,641.0,586.0,55.0,596.0,45.0
2020,Western Australia,1938.0,107.0,3370.0,6979.0,5853,123.0,5.0,3.0,2.0,4.0,1.0
2021,New South Wales,3113.0,123.0,5658.0,8210.0,9399,606.0,494.0,392.0,102.0,411.0,83.0
2021,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0
2021,Queensland,719.0,53.0,1576.0,2141.0,2638,84.0,26.0,17.0,9.0,14.0,12.0
2021,South Australia,2534.0,118.0,4829.0,8243.0,7858,470.0,17.0,1.0,16.0,2.0,15.0
2021,Tasmania,466.0,22.0,1067.0,1807.0,1740,112.0,4.0,2.0,2.0,3.0,1.0
2021,Victoria,1579.0,57.0,2311.0,4443.0,4267,448.0,374.0,332.0,42.0,333.0,41.0
2021,Western Australia,1915.0,104.0,3573.0,7145.0,5984,193.0,9.0,3.0,6.0,3.0,6.0
2022,New South Wales,3429.0,136.0,6397.0,9018.0,10667,675.0,687.0,463.0,224.0,439.0,248.0
2022,Northern Territory,0.0,0.0,0.0,0.0,0,0.0,6.0,2.0,4.0,2.0,4.0
2022,Queensland,1056.0,59.0,2039.0,3267.0,3706,153.0,78.0,19.0,59.0,16.0,62.0
2022,South Australia,3003.0,123.0,5280.0,9578.0,8842,452.0,150.0,20.0,130.0,14.0,136.0
2022,Tasmania,567.0,20.0,1029.0,1804.0,1795,55.0,118.0,39.0,79.0,45.0,73.0
2022,Victoria,1608.0,50.0,2272.0,4236.0,4239,548.0,183.0,115.0,68.0,116.0,67.0
2022,Western Australia,1905.0,82.0,3224.0,6344.0,5482,390.0,60.0,9.0,51.0,9.0,51.0
