Date,Series,Value
2017-10-10,Average Tone,-1.791
2017-10-11,Average Tone,1.1588
2017-10-12,Average Tone,0.9592
2017-10-13,Average Tone,-2.6119
2017-10-14,Average Tone,-4.1781
2017-10-15,Average Tone,0
2017-10-16,Average Tone,-2.9638
2017-10-17,Average Tone,-1.2276
2017-10-18,Average Tone,-0.4785
2017-10-19,Average Tone,0
2017-10-20,Average Tone,0
2017-10-21,Average Tone,-0.212
2017-10-22,Average Tone,0
2017-10-23,Average Tone,-0.0464
2017-10-24,Average Tone,-0.9493
2017-10-25,Average Tone,-3.336
2017-10-26,Average Tone,-3.4063
2017-10-27,Average Tone,-2.1782
2017-10-28,Average Tone,0
2017-10-29,Average Tone,-2.0548
2017-10-30,Average Tone,0
2017-10-31,Average Tone,0
2017-11-01,Average Tone,-2.6182
2017-11-02,Average Tone,0
2017-11-03,Average Tone,0
2017-11-04,Average Tone,-3.7634
2017-11-05,Average Tone,0
2017-11-06,Average Tone,-3.9563
2017-11-07,Average Tone,0
2017-11-08,Average Tone,-0.8662
2017-11-09,Average Tone,0.2597
2017-11-10,Average Tone,-3.2468
2017-11-11,Average Tone,0
2017-11-12,Average Tone,-5.0268
2017-11-13,Average Tone,-2.6108
2017-11-14,Average Tone,-1.8817
2017-11-15,Average Tone,-1.9764
2017-11-16,Average Tone,0
2017-11-17,Average Tone,0
2017-11-18,Average Tone,0
2017-11-19,Average Tone,0
2017-11-20,Average Tone,0
2017-11-21,Average Tone,0
2017-11-22,Average Tone,0
2017-11-23,Average Tone,0
2017-11-24,Average Tone,2.6711
2017-11-25,Average Tone,-0.3965
2017-11-26,Average Tone,2.6711
2017-11-27,Average Tone,0.9096
2017-11-28,Average Tone,0
2017-11-29,Average Tone,0
2017-11-30,Average Tone,0
2017-12-03,Average Tone,0
2017-12-04,Average Tone,0
2017-12-05,Average Tone,0
2017-12-06,Average Tone,-2.4441
2017-12-07,Average Tone,-3.6403
2017-12-08,Average Tone,0
2017-12-09,Average Tone,0.5195
2017-12-10,Average Tone,0
2017-12-11,Average Tone,0
2017-12-12,Average Tone,0
2017-12-13,Average Tone,-0.8542
2017-12-14,Average Tone,-3.3493
2017-12-15,Average Tone,0
2017-12-16,Average Tone,0
2017-12-17,Average Tone,0
2017-12-18,Average Tone,-0.443
2017-12-19,Average Tone,0
2017-12-20,Average Tone,0
2017-12-21,Average Tone,3.1746
2017-12-22,Average Tone,0
2017-12-23,Average Tone,0
2017-12-24,Average Tone,0
2017-12-25,Average Tone,0
2017-12-26,Average Tone,0
2017-12-27,Average Tone,0
2017-12-28,Average Tone,0
2017-12-29,Average Tone,0
