year,state,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest
1997,Victoria,1036.0,79.0,79.0,5544.0,4687.0,1020.0,31.0,19.0,12.0,21.0,10.0
1997,Western Australia,3722.0,296.0,296.0,20503.0,17828.0,990.0,,,,,
1998,Australian Capital Territory,,,,,,,2.0,2.0,0.0,0.0,2.0
1998,New South Wales,2485.0,132.0,132.0,11117.0,10484.0,1065.0,52.0,31.0,21.0,31.0,21.0
1998,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,48.0,9.0,43.0
1998,Queensland,2772.0,162.0,162.0,13839.0,13588.0,747.0,27.0,14.0,13.0,14.0,13.0
1998,South Australia,2265.0,115.0,115.0,10547.0,9712.0,594.0,35.0,0.0,35.0,1.0,34.0
1998,Tasmania,492.0,21.0,21.0,2568.0,2301.0,161.0,,,,,
1998,Unknown1,,,,,,,3.0,0.0,3.0,0.0,3.0
1998,Victoria,1127.0,61.0,61.0,6208.0,5100.0,1865.0,30.0,16.0,14.0,16.0,14.0
1998,Western Australia,3045.0,190.0,190.0,15392.0,13273.0,817.0,,,,,
1999,New South Wales,2596.0,182.0,182.0,12383.0,11541.0,862.0,62.0,35.0,27.0,32.0,30.0
1999,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,23.0,2.0,22.0
1999,Queensland,2689.0,183.0,183.0,14226.0,12986.0,648.0,26.0,10.0,16.0,10.0,16.0
1999,South Australia,2070.0,114.0,114.0,9306.0,9017.0,409.0,42.0,3.0,39.0,4.0,38.0
1999,Tasmania,574.0,25.0,25.0,2754.0,2497.0,129.0,,,,,
1999,Unknown1,,,,,,,20.0,0.0,20.0,0.0,20.0
1999,Victoria,1197.0,76.0,76.0,5753.0,5367.0,731.0,33.0,16.0,17.0,18.0,15.0
1999,Western Australia,2593.0,179.0,179.0,13967.0,13356.0,800.0,,,,,
2000,New South Wales,3237.0,145.0,145.0,12509.0,12467.0,788.0,102.0,51.0,51.0,54.0,48.0
2000,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,10.0,4.0,8.0
2000,Queensland,1551.0,74.0,74.0,10513.0,10093.0,1061.0,21.0,11.0,10.0,10.0,11.0
2000,South Australia,2352.0,123.0,123.0,8703.0,8486.0,698.0,9.0,1.0,8.0,1.0,8.0
2000,Tasmania,491.0,22.0,22.0,2520.0,2262.0,203.0,,,,,
2000,Victoria,1217.0,58.0,58.0,5037.0,4694.0,765.0,28.0,18.0,10.0,15.0,13.0
2000,Western Australia,3335.0,202.0,202.0,13896.0,12409.0,865.0,,,,,
2001,New South Wales,3127.0,136.0,136.0,13372.0,11933.0,776.0,128.0,76.0,52.0,84.0,44.0
2001,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,40.0,6.0,38.0
2001,Queensland,2625.0,140.0,140.0,15704.0,13912.0,1119.0,29.0,13.0,16.0,13.0,16.0
